cod_inep,nome_escola,municipio,latitude,longitude,idebes,ama_nu_acerto,ama_nu_total,ama_tx_acerto,olimpiada,participante,regional
32000057,EEEFM SEBASTIAO COIMBRA ELIZEU,ÁGUA DOCE DO NORTE,-18.550061,-40.9775337,4.6,3167.0,6800.0,46.5735294117647,6.791666666666667,1,SRE Barra de São Francisco
32000480,EEEFM OLEGARIO MARTINS,ÁGUA DOCE DO NORTE,-18.41686,-41.12352,4.3,569.0,1500.0,37.93333333333333,6.25,0,SRE Barra de São Francisco
32000499,EEEFM DERMEVAL LEITE RIBEIRO,ÁGUA DOCE DO NORTE,-18.4163464,-41.0317018,3.9,1457.0,2820.0,51.66666666666666,8.133333333333333,0,SRE Barra de São Francisco
32000979,EEEFM GOVERNADOR LINDENBERG,BARRA DE SÃO FRANCISCO,-18.749677,-40.8936694,4.5,4481.0,11600.0,38.62931034482759,4.297297297297297,1,SRE Barra de São Francisco
32000987,CEEFMTI JOAO XXIII,BARRA DE SÃO FRANCISCO,-18.7559555,-40.8981092,5.1,5131.0,9800.0,52.35714285714285,5.32,0,SRE Barra de São Francisco
32001592,EEEF ITA,BARRA DE SÃO FRANCISCO,-18.6281014,-40.8690404,0.0,374.0,560.0,66.78571428571429,0.0,1,SRE Barra de São Francisco
32001606,EEEFM ALADIM SILVESTRE DE ALMEIDA,BARRA DE SÃO FRANCISCO,-18.5854224,-40.8870801,4.2,1366.0,2960.0,46.148648648648646,4.125,0,SRE Barra de São Francisco
32001916,EEEFM PROFESSORA ASCENDINA FEITOSA,BARRA DE SÃO FRANCISCO,-18.6638191,-40.7956295,4.2,2231.0,4380.0,50.93607305936073,5.5,0,SRE Barra de São Francisco
32002408,EEEF FRANCISCO LOURENCO ANDRADE,BARRA DE SÃO FRANCISCO,-18.8375065,-40.7813388,0.0,221.0,460.0,48.04347826086956,0.0,0,SRE Barra de São Francisco
32002939,CEEFMTI DANIEL COMBONI,ECOPORANGA,-18.3690006,-40.8297716,5.3,1745.0,3920.0,44.515306122448976,6.142857142857143,1,SRE Barra de São Francisco
32002971,EEEF PATRIMONIO PRATA DOS BAIANOS,ECOPORANGA,-18.3398578,-41.0053061,0.0,164.0,340.0,48.23529411764706,0.0,0,SRE Barra de São Francisco
32002998,EEEF SANTA TEREZINHA,ECOPORANGA,-18.4925603,-40.8116254,0.0,545.0,940.0,57.97872340425532,0.0,0,SRE Barra de São Francisco
32003005,EEEFM ECOPORANGA,ECOPORANGA,-18.3724884,-40.8346091,4.3,6408.0,13200.0,48.54545454545455,7.714285714285714,0,SRE Barra de São Francisco
32003498,EEEF COTAXE,ECOPORANGA,-18.1822849,-40.7171046,0.0,503.0,760.0,66.1842105263158,0.0,0,SRE Barra de São Francisco
32003595,EEEFM JOSE TEIXEIRA FIALHO,ECOPORANGA,-18.2833315,-40.706274,4.7,1212.0,2260.0,53.6283185840708,8.5,0,SRE Barra de São Francisco
32003790,EEEFM DE JOASSUBA SR ANTONIO PATRICIO DE FONTOURA,ECOPORANGA,-18.3735458,-40.8321387,4.7,1257.0,2980.0,42.18120805369127,5.333333333333333,1,SRE Barra de São Francisco
32004273,EEEFM CHRISTIANO DIAS LOPES,MANTENÓPOLIS,-18.8650174,-41.1251277,5.2,3397.0,6700.0,50.70149253731344,7.272727272727272,0,SRE Barra de São Francisco
32004303,EEEFM JOB PIMENTEL,MANTENÓPOLIS,-18.8599755,-41.1196113,6.0,1800.0,4000.0,45.0,4.65,0,SRE Barra de São Francisco
32004532,EEEFM PALMERINDO VIEIRA CAMPOS,MANTENÓPOLIS,-18.8890299,-41.0157613,4.6,1048.0,2320.0,45.172413793103445,6.25,1,SRE Barra de São Francisco
32005067,CEIER DE AGUIA BRANCA,ÁGUIA BRANCA,-19.0164403,-40.6522987,6.0,1658.0,3200.0,51.8125,5.2,0,SRE Barra de São Francisco
32005105,EEEFM PROFESSORA ANA MARIA CARLETTI QUIUQUI,ÁGUIA BRANCA,-18.9852129,-40.7405355,4.6,2950.0,6440.0,45.807453416149066,4.475,0,SRE Barra de São Francisco
32005601,CEIER DE BOA ESPERANCA,BOA ESPERANÇA,-18.5381475,-40.2727633,4.7,1365.0,3120.0,43.75,4.625,0,SRE Nova Venécia
32005652,EEEFM ANTONIO DOS SANTOS NEVES,BOA ESPERANÇA,-18.5409241,-40.2984396,5.2,3301.0,7480.0,44.13101604278075,5.0,1,SRE Nova Venécia
32005954,EEEFM SOBRADINHO,BOA ESPERANÇA,-18.428827,-40.3871896,5.0,2463.0,3660.0,67.29508196721312,4.545454545454546,0,SRE Nova Venécia
32006292,EEEFM PADRE JOSIMO,NOVA VENÉCIA,-18.711605,-40.5363499,0.0,76.0,120.0,63.333333333333336,0.0,0,SRE Nova Venécia
32006330,EEEFM PROF ANA PORTELA DE SA,VILA PAVÃO,-18.6188245,-40.5992,5.1,1914.0,3620.0,52.87292817679558,4.857142857142857,1,SRE Nova Venécia
32006330,EEEFM PROF ANA PORTELA DE SA,VILA PAVÃO,-18.6188245,-40.5992,5.1,1914.0,3620.0,52.87292817679558,5.625,1,SRE Nova Venécia
32006349,EEEM DOM DANIEL COMBONI,NOVA VENÉCIA,-18.7131139,-40.3985205,5.4,10447.0,19080.0,54.75366876310272,6.538461538461538,0,SRE Nova Venécia
32007000,CEIER DE VILA PAVAO,VILA PAVÃO,-18.648928,-40.6139788,4.9,1184.0,2620.0,45.19083969465649,0.0,0,SRE Nova Venécia
32007175,EEEFM ALARICO JOSE DE LIMA,NOVA VENÉCIA,-18.8316865,-40.7155985,4.6,1709.0,3460.0,49.39306358381503,5.555555555555555,0,SRE Nova Venécia
32007485,EEPEF FAZENDA JACUTINGA,NOVA VENÉCIA,-18.4224292,-40.5206302,0.0,10.0,20.0,50.0,0.0,0,SRE Nova Venécia
32007515,EEEFM JOSE ZAMPROGNO,NOVA VENÉCIA,-18.4951432,-40.4662915,4.4,1338.0,2400.0,55.75,4.714285714285714,1,SRE Nova Venécia
32007744,EEEFM JOSE ANTONIO DA SILVA ONOFRE,NOVA VENÉCIA,-18.9203061,-40.6009942,0.0,104.0,200.0,52.0,0.0,1,SRE Nova Venécia
32007779,EEUEF VALDIVINO GROONER,SÃO GABRIEL DA PALHA,-18.9908478,-40.4769815,0.0,160.0,200.0,80.0,0.0,0,SRE Nova Venécia
32007876,CEEFMTI GOVERNADOR GERSON CAMATA,SÃO GABRIEL DA PALHA,-19.0120073,-40.5351728,5.0,2254.0,4620.0,48.78787878787879,5.3125,1,SRE Nova Venécia
32007965,EEUEF CORREGO BLEY,SÃO GABRIEL DA PALHA,-19.0144984,-40.4733219,0.0,147.0,160.0,91.875,0.0,0,SRE Nova Venécia
32007973,EEUEF CORREGO COMPRIDO,SÃO GABRIEL DA PALHA,-19.0285478,-40.511158,0.0,43.0,60.0,71.66666666666667,0.0,0,SRE Nova Venécia
32007981,EEEFM CORREGO DA LAPA,SÃO GABRIEL DA PALHA,-18.9188735,-40.5633134,0.0,182.0,260.0,70.0,0.0,0,SRE Nova Venécia
32008007,EEEF CORREGO DAS ARARAS,SÃO GABRIEL DA PALHA,-18.9779477,-40.4918862,0.0,51.0,60.0,85.0,0.0,0,SRE Nova Venécia
32008066,EEEF FAZENDA SUAVE,SÃO GABRIEL DA PALHA,-18.9899472,-40.572126,0.0,73.0,80.0,91.25,0.0,0,SRE Nova Venécia
32008104,EEEFM SAO JOAO BATISTA,SÃO GABRIEL DA PALHA,-19.0025291,-40.4921216,0.0,107.0,120.0,89.16666666666667,0.0,1,SRE Nova Venécia
32008112,EEUEF SAO SALVADOR,SÃO GABRIEL DA PALHA,-19.0470806,-40.4917005,0.0,78.0,100.0,78.0,0.0,0,SRE Nova Venécia
32008198,EEUEF CORREGO IRACEMA,SÃO GABRIEL DA PALHA,-18.858756,-40.4087865,0.0,18.0,20.0,90.0,0.0,0,SRE Nova Venécia
32008201,EEEFM FAZENDA LOVO,SÃO GABRIEL DA PALHA,-18.9454182,-40.4848058,0.0,24.0,40.0,60.0,0.0,1,SRE Nova Venécia
32008236,EEEFM VERA CRUZ,SÃO GABRIEL DA PALHA,-18.9038819,-40.4480899,5.0,1121.0,2320.0,48.31896551724138,5.666666666666667,0,SRE Nova Venécia
32008317,EEUEF FAZENDA DOBROWOLSKY,SÃO GABRIEL DA PALHA,-18.8848851,-40.4275853,0.0,0.0,0.0,0.0,0.0,0,SRE Nova Venécia
32008473,EEEF CORREGO QUEIXADA,SÃO GABRIEL DA PALHA,-18.9447515,-40.4201737,0.0,339.0,580.0,58.44827586206897,0.0,1,SRE Nova Venécia
32008481,EEEF VALERIO,VILA VALÉRIO,-19.0019653,-40.3873268,0.0,1558.0,2000.0,77.9,0.0,1,SRE Nova Venécia
32008503,EEEFM ATILIO VIVACQUA,VILA VALÉRIO,-18.9986347,-40.3916761,5.0,5662.0,8900.0,63.61797752808989,5.863636363636363,0,SRE Nova Venécia
32008520,EEUEF ALTO VALERIO,VILA VALÉRIO,-18.9591555,-40.3759697,0.0,71.0,120.0,59.16666666666666,0.0,0,SRE Nova Venécia
32008627,EEUEF DUAS BARRAS,SÃO GABRIEL DA PALHA,-18.9247093,-40.382072,0.0,70.0,80.0,87.5,0.0,0,SRE Nova Venécia
32008651,EEEF FAZENDA SAO GERALDO,VILA VALÉRIO,-18.9715933,-40.409164,0.0,0.0,0.0,0.0,0.0,0,SRE Nova Venécia
32009038,EEEFM PASTOR ANTONIO NUNES DE CARVALHO,ALTO RIO NOVO,-19.0572609,-41.0184836,4.9,4231.0,8400.0,50.36904761904762,4.4375,0,SRE Colatina
32009402,EEEFM DR JONES DOS SANTOS NEVES,BAIXO GUANDU,-19.5075163,-41.0242203,0.0,922.0,2040.0,45.19607843137255,0.0,0,SRE Colatina
32009461,EEEFM JOSE DAMASCENO FILHO,BAIXO GUANDU,-19.5099286,-41.0192887,4.3,2992.0,7720.0,38.75647668393783,6.6,0,SRE Colatina
32010303,CEEJA PEDRO ANTONIO VITALI,COLATINA,-19.5427109,-40.63697755,0.0,0.0,0.0,0.0,0.0,0,SRE Colatina
32010699,EEEFM PROFESSORA NEA MONTEIRO COSTA,COLATINA,-19.5279957,-40.6624371,5.2,3856.0,7940.0,48.56423173803527,6.307692307692308,1,SRE Colatina
32010702,CEEFMTI CONDE DE LINHARES,COLATINA,-19.5336904,-40.6268822,5.5,2868.0,5700.0,50.31578947368421,5.916666666666667,1,SRE Colatina
32010710,EEEFM GERALDO VARGAS NOGUEIRA,COLATINA,-19.5273155,-40.6319705,4.7,8318.0,16880.0,49.27725118483412,5.416666666666667,1,SRE Colatina
32010729,EEEFM HONORIO FRAGA,COLATINA,-19.5225188,-40.6363102,5.4,6751.0,13060.0,51.69218989280245,4.530054644808743,0,SRE Colatina
32010745,EEEFM PROF CAROLINA PICHLER,COLATINA,-19.5197413,-40.6474073,5.5,978.0,1860.0,52.58064516129032,4.857142857142857,0,SRE Colatina
32010753,EEEFM RUBENS RANGEL,COLATINA,-19.53849939,-40.63441309,5.0,4885.0,10800.0,45.23148148148148,6.447368421052632,0,SRE Colatina
32011709,EEEF DR MOACIR AVIDOS,GOVERNADOR LINDENBERG,-19.2358175,-40.5114522,0.0,1128.0,2320.0,48.62068965517241,0.0,0,SRE Colatina
32011717,EEEFM PROFESSOR SANTOS PINTO,GOVERNADOR LINDENBERG,-19.2528618,-40.4624846,4.7,2092.0,4960.0,42.17741935483871,5.052631578947368,0,SRE Colatina
32012420,EEEFM IRINEU MORELLO,GOVERNADOR LINDENBERG,-19.1415206,-40.4670826,5.8,1665.0,2980.0,55.87248322147651,5.75,0,SRE Colatina
32012438,EEEFM PROF CARLOS MENDES,GOVERNADOR LINDENBERG,-19.2250131,-40.5932777,4.7,1868.0,2920.0,63.97260273972603,3.733333333333333,0,SRE Colatina
32012713,EEEFM PADRE ANTONIO VOLKERS,MARILÂNDIA,-19.4101631,-40.543951,4.5,3847.0,8480.0,45.365566037735846,4.9,0,SRE Colatina
32013272,EEEFM ARARIBOIA,PANCAS,-19.2213903,-40.8535563,4.6,1367.0,3560.0,38.39887640449438,4.315789473684211,0,SRE Colatina
32013728,EEEFM SEBASTIANA GRILO,PANCAS,-19.1616831,-40.7729622,4.4,2561.0,5540.0,46.227436823104696,5.928571428571429,0,SRE Colatina
32013906,EEEFM JANUARIO RIBEIRO,PANCAS,-18.9729683,-40.8773477,4.4,1905.0,3580.0,53.212290502793294,3.947368421052632,0,SRE Colatina
32014236,EEEFM SAO DOMINGOS,SÃO DOMINGOS DO NORTE,-19.1472732,-40.622489,4.4,2514.0,5800.0,43.3448275862069,5.225806451612903,0,SRE Colatina
32014597,EEEFM DOM JOSE DALVIT,MONTANHA,-18.1266536,-40.3660489,4.4,2716.0,7160.0,37.93296089385475,5.03125,0,SRE Nova Venécia
32014627,CEEFMTI PROFESSOR ELPIDIO CAMPOS DE OLIVEIRA,MONTANHA,-18.1265465,-40.361787,4.5,1708.0,3420.0,49.941520467836256,4.538461538461538,0,SRE Nova Venécia
32014708,EEEFM BELA VISTA,MONTANHA,-18.209256,-40.2452788,0.0,57.0,80.0,71.25,0.0,1,SRE Nova Venécia
32014724,EEPEF FRANCISCO DOMINGOS RAMOS,MONTANHA,-18.2037532,-40.1323446,0.0,33.0,40.0,82.5,0.0,1,SRE Nova Venécia
32014775,EEEFM PADRE MANOEL DA NOBREGA,MONTANHA,-18.1960148,-40.2651617,4.0,842.0,2200.0,38.27272727272727,0.0,0,SRE Nova Venécia
32015070,EEEFM PROF MARIA MAGDALENA DA SILVA,PONTO BELO,-18.1285429,-40.5386399,4.6,4644.0,7460.0,62.25201072386059,4.454545454545454,0,SRE Nova Venécia
32015089,EEEFM DE MUCURICI,MUCURICI,-18.096572,-40.5215843,4.6,1951.0,4640.0,42.047413793103445,4.714285714285714,1,SRE Nova Venécia
32015496,EEEFM MARGEM DO ITAUNINHAS,PINHEIROS,-18.3992513,-40.2552422,0.0,311.0,680.0,45.73529411764706,0.0,1,SRE Nova Venécia
32015550,EEEFM SAO JOAO DO SOBRADO,PINHEIROS,-18.3183176,-40.4050936,4.7,2343.0,3980.0,58.86934673366834,5.3,1,SRE Nova Venécia
32015631,EEEM NOSSA SENHORA DE LOURDES,PINHEIROS,-18.410439,-40.2119883,4.7,5146.0,10940.0,47.03839122486289,4.055555555555555,0,SRE Nova Venécia
32016158,EEEM PROF JOAQUIM FONSECA,CONCEIÇÃO DA BARRA,-18.5945404,-39.7304975,5.0,5148.0,7760.0,66.34020618556701,5.545454545454546,0,SRE São Mateus
32016352,EEEF ASSENTAMENTO UNIAO,CONCEIÇÃO DA BARRA,-18.3934384,-39.9143154,0.0,439.0,760.0,57.76315789473684,2.5,0,SRE São Mateus
32016387,EEEFM JOSE CARLOS CASTRO,CONCEIÇÃO DA BARRA,-18.4319842,-39.9304766,4.7,4307.0,9040.0,47.64380530973451,0.0,1,SRE São Mateus
32016441,EEPEF SAO BENEDITO,CONCEIÇÃO DA BARRA,-18.3876193,-39.8011941,0.0,51.0,120.0,42.5,0.0,0,SRE São Mateus
32016506,EEEFM CORREGO DO CEDRO,CONCEIÇÃO DA BARRA,-18.36591,-39.78859,0.0,530.0,720.0,73.61111111111111,0.0,1,SRE São Mateus
32016573,EEEFM XIII DE SETEMBRO,SÃO MATEUS,-18.81012167,-40.000065,0.0,586.0,760.0,77.10526315789474,0.0,0,SRE São Mateus
32016662,EEEFM IRMA TEREZA ALTOE,JAGUARÉ,-18.9119032,-40.0773279,3.9,4144.0,8820.0,46.98412698412698,2.8461538461538463,0,SRE São Mateus
32016700,EEEM PEDRO PAULO GROBERIO,JAGUARÉ,-18.9066645,-40.0734977,5.1,6081.0,12440.0,48.88263665594855,5.795454545454546,0,SRE São Mateus
32017243,EEEFM DR EDWARD ABREU DO NASCIMENTO,PEDRO CANÁRIO,-18.2959021,-39.9589193,4.8,4283.0,9540.0,44.895178197064986,4.622222222222222,0,SRE São Mateus
32017286,EEEF PEDRO CANARIO RIBEIRO,PEDRO CANÁRIO,-18.2936891,-39.9515915,0.0,1802.0,4440.0,40.585585585585584,0.0,0,SRE São Mateus
32017316,EEEF TRES DE MAIO,PEDRO CANÁRIO,-18.2219911,-40.0565615,0.0,796.0,1200.0,66.33333333333333,0.0,1,SRE São Mateus
32017391,CEEFMTI MANOEL DUARTE DA CUNHA,PEDRO CANÁRIO,-18.2974642,-39.9497569,5.2,2166.0,4240.0,51.08490566037736,6.0,0,SRE São Mateus
32017529,EEEFM PROF LUIZA BASTOS FARIA,PEDRO CANÁRIO,-18.0880829,-40.1076474,6.2,2345.0,4120.0,56.91747572815534,6.181818181818182,0,SRE São Mateus
32017952,EEEFM AMERICO SILVARES,SÃO MATEUS,-18.7191807,-39.8730299,0.0,1434.0,2680.0,53.507462686567166,0.0,1,SRE São Mateus
32017995,EEEFM DR EMILIO ROBERTO ZANOTTI,SÃO MATEUS,-18.71815,-39.85921,4.9,4332.0,7560.0,57.3015873015873,4.354838709677419,1,SRE São Mateus
32018045,EEEF EGIDIO BORDONI,SÃO MATEUS,-18.7281127,-39.8610926,0.0,2060.0,2400.0,85.83333333333333,0.0,0,SRE São Mateus
32018061,EEEFM PIO XII,SÃO MATEUS,-18.7154237,-39.8510161,0.0,1542.0,2900.0,53.172413793103445,5.666666666666667,0,SRE São Mateus
32018096,EEEFM SANTO ANTONIO,SÃO MATEUS,-18.7211407,-39.8804851,4.9,7028.0,14700.0,47.80952380952381,5.693333333333333,0,SRE São Mateus
32018100,CEEFMTI MARITA MOTTA SANTOS,SÃO MATEUS,-18.7187709,-39.8595722,5.1,3014.0,5360.0,56.23134328358209,5.3,0,SRE São Mateus
32018169,EEEM CECILIANO ABEL DE ALMEIDA,SÃO MATEUS,-18.7158918,-39.8564812,4.6,15216.0,24460.0,62.20768601798855,4.932773109243698,0,SRE São Mateus
32019050,EEEFM CORREGO DE SANTA MARIA,SÃO MATEUS,-18.5788948,-40.1429571,4.6,2327.0,4760.0,48.88655462184874,5.5,0,SRE São Mateus
32019270,EEEF 27 DE OUTUBRO,SÃO MATEUS,-18.7757998,-40.2166009,0.0,472.0,720.0,65.55555555555556,6.0,1,SRE São Mateus
32019343,EEPEF PADRE EZEQUIEL,SÃO MATEUS,-18.7479661,-40.2388343,0.0,35.0,80.0,43.75,0.0,0,SRE São Mateus
32019378,EEPEF VALE DA VITORIA,SÃO MATEUS,-18.7576407,-40.2112407,0.0,161.0,420.0,38.333333333333336,0.0,0,SRE São Mateus
32019459,EEEFM NESTOR GOMES,SÃO MATEUS,-18.7330585,-40.2210233,4.8,4362.0,10940.0,39.87202925045704,5.0,0,SRE São Mateus
32019807,CEEMTI MONSENHOR GUILHERME SCHMITZ,ARACRUZ,-19.8218743,-40.2829456,5.6,9664.0,13060.0,73.9969372128637,4.743589743589744,0,SRE Linhares
32020023,EEEFM PROFESSOR APARICIO ALVARENGA,ARACRUZ,-19.6781495,-40.2607628,4.2,2429.0,6080.0,39.95065789473684,3.75,0,SRE Linhares
32020180,EEEFM DYLIO PENEDO,ARACRUZ,-19.58777,-40.19402,4.4,2194.0,5880.0,37.31292517006803,6.25,0,SRE Linhares
32020333,EEEFM ERMENTINA LEAL,ARACRUZ,-19.7460028,-40.0406267,4.2,3140.0,6420.0,48.90965732087228,7.75,1,SRE Linhares
32020341,EEEFM CABOCLO BERNARDO,ARACRUZ,-19.8251491,-40.060233,4.0,3135.0,6600.0,47.5,0.0,0,SRE Linhares
32020643,EEEFM PRIMO BITTI,ARACRUZ,-19.92853319,-40.13921256,4.3,4652.0,9700.0,47.95876288659794,5.769230769230769,1,SRE Linhares
32020910,CEEFMTI NAIR MIRANDA,FUNDÃO,-19.9372345,-40.4036443,5.8,1501.0,3220.0,46.61490683229814,5.0,0,SRE Carapina
32021194,EEEFM NARCEU DE PAIVA FILHO,IBIRAÇU,-19.8310633,-40.3660917,4.4,2368.0,5600.0,42.285714285714285,2.688888888888889,0,SRE Linhares
32021259,EEEFM NOSSA SENHORA DA SAUDE,IBIRAÇU,-19.8301065,-40.3667838,0.0,2420.0,4520.0,53.53982300884956,0.0,1,SRE Linhares
32021550,EEEFM JOAO NEIVA,JOÃO NEIVA,-19.7569761,-40.3818939,5.0,2913.0,6280.0,46.38535031847134,4.557377049180328,1,SRE Linhares
32021798,CEEJA DE LINHARES,LINHARES,-19.4022606,-40.0666867,0.0,0.0,0.0,0.0,0.0,0,SRE Linhares
32021933,CEEFMTI BARTOUVINO COSTA,LINHARES,-19.4024747,-40.0660058,5.0,4934.0,11300.0,43.663716814159294,4.378378378378378,1,SRE Linhares
32022050,EEEFM JOSE DE CALDAS BRITO,LINHARES,-19.3972965,-40.0602209,5.6,9306.0,11360.0,81.91901408450704,4.444444444444445,0,SRE Linhares
32022158,EEEFM PROFESSORA REGINA BANHOS PAIXAO,LINHARES,-19.3599664,-40.05252256,4.6,5163.0,11280.0,45.77127659574468,6.333333333333333,0,SRE Linhares
32022212,EEEFM POLIVALENTE DE LINHARES I,LINHARES,-19.381038,-40.0600389,4.6,4730.0,11360.0,41.63732394366197,4.557692307692308,0,SRE Linhares
32022360,EEEM EMIR DE MACEDO GOMES,LINHARES,-19.3963821,-40.0634942,4.4,14203.0,31360.0,45.29017857142857,7.333333333333333,0,SRE Linhares
32022778,EEEFM PROFESSOR MANOEL ABREU,LINHARES,-19.475907,-40.1168934,4.3,4462.0,10460.0,42.65774378585086,4.875,0,SRE Linhares
32023014,EEEFM ARMANDO BARBOSA QUITIBA,SOORETAMA,-19.1915638,-40.096769,4.2,4139.0,10940.0,37.83363802559415,4.4625,0,SRE Linhares
32023685,EEEFM VILA REGENCIA,LINHARES,-19.6460751,-39.8264789,0.0,817.0,1660.0,49.21686746987952,0.0,0,SRE Linhares
32024134,EEEFM FAZENDA AMORIM,VILA VALÉRIO,-18.9404574,-40.302884,0.0,128.0,160.0,80.0,0.0,1,SRE Nova Venécia
32024240,EEUEF CORREGO DO PAVAO,VILA VALÉRIO,-18.8734979,-40.326504,0.0,57.0,60.0,95.0,0.0,0,SRE Nova Venécia
32024410,EEUEF NOVA JERUSALEM,VILA VALÉRIO,-18.9702488,-40.3080921,0.0,70.0,120.0,58.333333333333336,0.0,0,SRE Nova Venécia
32024550,EEEFM MANOEL SALUSTIANO DE SOUZA,LINHARES,-19.369234,-40.44753,4.2,3111.0,5820.0,53.45360824742268,5.363636363636363,0,SRE Linhares
32025149,EEEFM BANANAL,RIO BANANAL,-19.2718911,-40.3280277,4.8,3399.0,8640.0,39.34027777777778,4.461538461538462,0,SRE Linhares
32025920,CEEFMTI AFONSO CLAUDIO,AFONSO CLÁUDIO,-20.0754704,-41.1269763,4.9,1417.0,2420.0,58.55371900826447,5.538461538461538,0,SRE Afonso Cláudio
32026480,EEEFM LEOGILDO SEVERIANO DE SOUZA,BREJETUBA,-20.1105215,-41.339661,6.1,695.0,1300.0,53.46153846153846,4.3,0,SRE Afonso Cláudio
32026536,EEEFM MARLENE BRANDAO,BREJETUBA,-20.1823024,-41.2667904,5.4,1555.0,3300.0,47.121212121212125,5.75,0,SRE Afonso Cláudio
